,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount,APPROVED,G,GP,M,NC-17,NOT RATED,PASSED,PG,PG13,R,TV-14,UNRATED,X,GRRating,GRRatingCount
32,The Theory of Everything,15000000.0,35887263.0,PG-13,123.0,7.7,234260.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7,499
33,The Theory of Everything,15000000.0,35887263.0,PG-13,123.0,7.7,234260.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7,499
34,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.7,2842
35,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.7,2842
36,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.7,2842
37,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.7,2842
38,The Blind Side,29000000.0,255950375.0,PG-13,129.0,7.7,210698.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.15,51709
39,The Blind Side,29000000.0,255950375.0,PG-13,129.0,7.7,210698.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.15,51709
40,The Blind Side,29000000.0,255950375.0,PG-13,129.0,7.7,210698.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.15,51709
41,The Blind Side,29000000.0,255950375.0,PG-13,129.0,7.7,210698.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.15,51709
42,The Last King of Scotland,6000000.0,17605861.0,R,123.0,7.7,140065.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.75,2303
43,The Last King of Scotland,6000000.0,17605861.0,R,123.0,7.7,140065.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.75,2303
44,The Last King of Scotland,6000000.0,17605861.0,R,123.0,7.7,140065.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.75,2303
45,The Last King of Scotland,6000000.0,17605861.0,R,123.0,7.7,140065.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.75,2303
46,The Secret World of Arrietty,,,G,94.0,7.7,49602.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,96
47,The Secret World of Arrietty,,,G,94.0,7.7,49602.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,96
48,The Secret World of Arrietty,,,G,94.0,7.7,49602.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,96
49,The Secret World of Arrietty,,,G,94.0,7.7,49602.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,96
50,The Rape of Europa,,,UNRATED,117.0,7.7,1172.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,4689
51,The Rape of Europa,,,UNRATED,117.0,7.7,1172.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,4689
52,The Rape of Europa,,,UNRATED,117.0,7.7,1172.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,4689
