,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount
93,Ne mozhet byt!,,,,100.0,7.8,881.0,,
94,"Pegiy pyos, Begushchiy kraem morya",,,,132.0,7.8,41.0,,
95,Boris Godunov,,,,110.0,7.8,47.0,,
96,Queridas amigas,,,,92.0,,,,
97,Günter Wallraff - Ganz unten,,,,100.0,7.8,36.0,,
98,Karanlik dünya,,,,60.0,7.8,32.0,,
99,The Theory of Everything,15000000.0,35887263.0,PG-13,123.0,7.7,234260.0,,
100,Black Hawk Down,92000000.0,976530.0,R,144.0,7.7,280733.0,,
101,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,
102,The Blind Side,29000000.0,255950375.0,PG-13,129.0,7.7,210698.0,,
103,The Last King of Scotland,6000000.0,17605861.0,R,123.0,7.7,140065.0,,
104,Lolita,,,NOT RATED,152.0,7.7,64397.0,,
105,Midnight Express,1800000.0,35000000.0,R,121.0,7.7,51812.0,,
106,The Secret World of Arrietty,,,G,94.0,7.7,49602.0,,
107,Mysterious Skin,,,NC-17,105.0,7.7,55298.0,,
108,Gettysburg,25000000.0,10769960.0,PG,271.0,7.7,21474.0,,
109,Prince of the City,,,R,167.0,7.7,4975.0,,
110,Europa Europa,,,R,112.0,7.7,11717.0,,
111,Isadora,,,M,131.0,7.7,1599.0,,
112,Le Silence de la Mer,,,NOT RATED,88.0,7.7,2340.0,,
113,Caliber 9,,,,88.0,7.7,1984.0,,
114,Dobrý voják Svejk,,,,108.0,7.7,715.0,,
115,The Rape of Europa,,,UNRATED,117.0,7.7,1172.0,,
116,Bandini,,,,157.0,7.7,547.0,,
117,Bicho de Sete Cabeças,,,,74.0,7.7,3011.0,,
118,The Celluloid Closet,,,R,102.0,7.7,4937.0,,
119,The Trials of Henry Kissinger,,,,80.0,7.7,1659.0,,
120,The Outrageous Baron Munchausen,,,,83.0,7.7,891.0,,
121,The Sorcerer's Apprentice,,,,73.0,7.7,613.0,,
122,Empire of the Air: The Men Who Made Radio,,,,100.0,7.7,306.0,,
123,Jäniksen vuosi,,,,129.0,7.7,937.0,,
124,Rikki-Tikki-Tavi,,,,,7.7,444.0,,
125,Cerní baroni,,,,99.0,7.7,508.0,,
126,Suvi,,,,81.0,7.7,393.0,,
127,Are We Alone in the Universe?,,,,92.0,7.7,25.0,,
128,"The Who's Tommy, the Amazing Journey",,,,59.0,7.7,60.0,,
129,Bokuto kidan,,,,150.0,7.7,15.0,,
130,Sus Etz,,,,90.0,7.7,19.0,,
131,13 Hours: The Secret Soldiers of Benghazi,50000000.0,32763829.0,R,144.0,7.6,5637.0,,
132,Lone Survivor,40000000.0,125069696.0,R,121.0,7.6,190588.0,,
133,Hugo,170000000.0,73820094.0,PG,126.0,7.6,235659.0,,
134,Blow,30000000.0,8844782.0,R,124.0,7.6,191138.0,,
135,Moneyball,50000000.0,75605492.0,PG-13,133.0,7.6,273355.0,,
136,Apollo 13,62000000.0,172071312.0,PG,140.0,7.6,200605.0,,
137,High Fidelity,20000000.0,,R,113.0,7.6,138375.0,,
138,Munich,70000000.0,47379090.0,R,164.0,7.6,171690.0,,
139,Field of Dreams,,,PG,107.0,7.6,83365.0,,
140,The Hours,25000000.0,3246655.0,PG-13,114.0,7.6,98946.0,,
141,Philomena,12000000.0,37707719.0,PG-13,98.0,7.6,71677.0,,
142,The Hurricane,38000000.0,,R,146.0,7.6,73575.0,,
143,Christiane F.,,,R,138.0,7.6,14514.0,,
144,Dead Man Walking,11000000.0,,R,122.0,7.6,71029.0,,
145,The Nun's Story,,,NOT RATED,149.0,7.6,6786.0,,
146,Never Cry Wolf,,,PG,105.0,7.6,6104.0,,
